epoch (ms),time (18:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1535604038039,2018-08-30T13:40:38.039,0.000,-0.204,0.699,0.150
1535604038039,2018-08-30T13:40:38.039,0.000,-0.246,0.851,0.116
1535604038039,2018-08-30T13:40:38.039,0.000,-0.226,0.931,0.262
1535604038287,2018-08-30T13:40:38.287,0.248,-0.197,0.810,0.293
1535604038287,2018-08-30T13:40:38.287,0.248,-0.211,0.843,0.293
1535604038287,2018-08-30T13:40:38.287,0.248,-0.176,0.873,0.320
1535604038523,2018-08-30T13:40:38.523,0.484,-0.173,1.022,0.352
1535604038523,2018-08-30T13:40:38.523,0.484,-0.226,1.240,0.394
1535604038523,2018-08-30T13:40:38.523,0.484,-0.083,0.965,0.249
1535604038772,2018-08-30T13:40:38.772,0.733,-0.005,0.793,0.057
1535604038772,2018-08-30T13:40:38.772,0.733,-0.095,0.928,0.184
1535604038772,2018-08-30T13:40:38.772,0.733,-0.127,0.777,0.252
1535604039017,2018-08-30T13:40:39.017,0.978,-0.125,0.793,0.252
1535604039017,2018-08-30T13:40:39.017,0.978,-0.009,1.012,0.325
1535604039017,2018-08-30T13:40:39.017,0.978,-0.030,1.091,0.380
1535604039254,2018-08-30T13:40:39.254,1.215,-0.191,1.030,0.321
1535604039254,2018-08-30T13:40:39.254,1.215,-0.239,0.754,0.199
1535604039254,2018-08-30T13:40:39.254,1.215,-0.129,0.935,0.208
1535604039501,2018-08-30T13:40:39.501,1.462,-0.150,0.822,0.272
1535604039501,2018-08-30T13:40:39.501,1.462,-0.170,0.791,0.312
1535604039501,2018-08-30T13:40:39.501,1.462,-0.199,0.918,0.303
1535604039737,2018-08-30T13:40:39.737,1.698,-0.189,1.083,0.396
1535604039737,2018-08-30T13:40:39.737,1.698,-0.032,1.090,0.263
1535604039737,2018-08-30T13:40:39.737,1.698,-0.055,0.873,0.252
1535604039984,2018-08-30T13:40:39.984,1.945,-0.161,0.838,0.250
1535604039984,2018-08-30T13:40:39.984,1.945,-0.072,0.759,0.326
1535604039984,2018-08-30T13:40:39.984,1.945,0.090,0.733,0.367
1535604040232,2018-08-30T13:40:40.232,2.193,-0.145,0.890,0.403
1535604040232,2018-08-30T13:40:40.232,2.193,-0.053,1.241,0.438
1535604040232,2018-08-30T13:40:40.232,2.193,-0.214,0.911,0.274
1535604040468,2018-08-30T13:40:40.468,2.429,-0.230,0.884,0.201
1535604040468,2018-08-30T13:40:40.468,2.429,-0.060,0.917,0.210
1535604040468,2018-08-30T13:40:40.468,2.429,-0.099,0.710,0.228
1535604040716,2018-08-30T13:40:40.716,2.677,-0.164,0.840,0.262
1535604040716,2018-08-30T13:40:40.716,2.677,-0.158,0.999,0.295
1535604040716,2018-08-30T13:40:40.716,2.677,-0.203,1.204,0.371
1535604040963,2018-08-30T13:40:40.963,2.924,-0.091,1.126,0.197
1535604040963,2018-08-30T13:40:40.963,2.924,0.028,0.805,0.056
1535604040963,2018-08-30T13:40:40.963,2.924,-0.137,0.957,0.163
1535604041200,2018-08-30T13:40:41.200,3.161,-0.058,0.727,0.270
1535604041200,2018-08-30T13:40:41.200,3.161,-0.034,0.690,0.341
1535604041200,2018-08-30T13:40:41.200,3.161,-0.060,0.979,0.372
1535604041447,2018-08-30T13:40:41.447,3.408,-0.119,1.257,0.421
1535604041447,2018-08-30T13:40:41.447,3.408,-0.223,1.038,0.309
1535604041447,2018-08-30T13:40:41.447,3.408,-0.290,0.683,0.136
1535604041696,2018-08-30T13:40:41.696,3.657,-0.167,0.902,0.108
1535604041696,2018-08-30T13:40:41.696,3.657,-0.155,0.741,0.208
1535604041696,2018-08-30T13:40:41.696,3.657,-0.201,0.858,0.298
1535604041932,2018-08-30T13:40:41.932,3.893,-0.194,0.973,0.295
1535604041932,2018-08-30T13:40:41.932,3.893,-0.210,1.181,0.289
1535604041932,2018-08-30T13:40:41.932,3.893,-0.104,1.140,0.191
1535604042178,2018-08-30T13:40:42.178,4.139,-0.001,0.870,0.092
1535604042178,2018-08-30T13:40:42.178,4.139,-0.159,0.889,0.173
1535604042178,2018-08-30T13:40:42.178,4.139,-0.110,0.721,0.235
1535604042415,2018-08-30T13:40:42.415,4.376,-0.033,0.738,0.292
1535604042415,2018-08-30T13:40:42.415,4.376,-0.058,0.907,0.317
1535604042415,2018-08-30T13:40:42.415,4.376,-0.157,1.231,0.391
1535604042662,2018-08-30T13:40:42.662,4.623,-0.251,1.050,0.275
1535604042662,2018-08-30T13:40:42.662,4.623,-0.249,0.825,0.183
1535604042662,2018-08-30T13:40:42.662,4.623,-0.119,0.870,0.159
1535604042909,2018-08-30T13:40:42.909,4.870,-0.167,0.731,0.208
1535604042909,2018-08-30T13:40:42.909,4.870,-0.185,0.799,0.269
1535604042909,2018-08-30T13:40:42.909,4.870,-0.136,0.995,0.272
1535604043146,2018-08-30T13:40:43.146,5.107,-0.158,1.288,0.300
1535604043146,2018-08-30T13:40:43.146,5.107,0.023,1.037,0.125
1535604043146,2018-08-30T13:40:43.146,5.107,-0.058,0.864,0.133
1535604043393,2018-08-30T13:40:43.393,5.354,-0.140,0.851,0.160
1535604043393,2018-08-30T13:40:43.393,5.354,0.012,0.732,0.277
1535604043393,2018-08-30T13:40:43.393,5.354,0.006,0.766,0.325
1535604043641,2018-08-30T13:40:43.641,5.602,-0.108,1.057,0.354
1535604043641,2018-08-30T13:40:43.641,5.602,-0.186,1.276,0.350
1535604043641,2018-08-30T13:40:43.641,5.602,-0.245,0.835,0.208
1535604043877,2018-08-30T13:40:43.877,5.838,-0.140,0.856,0.197
1535604043877,2018-08-30T13:40:43.877,5.838,-0.159,0.818,0.178
1535604043877,2018-08-30T13:40:43.877,5.838,-0.206,0.745,0.242
1535604044124,2018-08-30T13:40:44.124,6.085,-0.193,0.880,0.244
1535604044124,2018-08-30T13:40:44.124,6.085,-0.168,1.118,0.280
1535604044124,2018-08-30T13:40:44.124,6.085,-0.106,1.259,0.251
1535604044360,2018-08-30T13:40:44.360,6.321,0.060,0.896,0.093
1535604044360,2018-08-30T13:40:44.360,6.321,-0.131,0.848,0.122
1535604044360,2018-08-30T13:40:44.360,6.321,-0.058,0.860,0.187
1535604044608,2018-08-30T13:40:44.608,6.569,0.046,0.771,0.276
1535604044608,2018-08-30T13:40:44.608,6.569,0.001,0.851,0.279
1535604044608,2018-08-30T13:40:44.608,6.569,-0.088,1.067,0.293
1535604044867,2018-08-30T13:40:44.867,6.828,-0.153,1.208,0.299
1535604044867,2018-08-30T13:40:44.867,6.828,-0.248,0.848,0.115
1535604044867,2018-08-30T13:40:44.867,6.828,-0.175,0.919,0.125
1535604045092,2018-08-30T13:40:45.092,7.053,-0.148,0.818,0.156
1535604045092,2018-08-30T13:40:45.092,7.053,-0.187,0.790,0.200
1535604045092,2018-08-30T13:40:45.092,7.053,-0.190,0.907,0.226
1535604045339,2018-08-30T13:40:45.339,7.300,-0.187,1.070,0.252
1535604045339,2018-08-30T13:40:45.339,7.300,-0.080,1.224,0.265
1535604045339,2018-08-30T13:40:45.339,7.300,0.006,0.897,0.112
1535604045587,2018-08-30T13:40:45.587,7.548,-0.196,0.936,0.066
1535604045587,2018-08-30T13:40:45.587,7.548,-0.057,0.824,0.125
1535604045587,2018-08-30T13:40:45.587,7.548,0.022,0.731,0.274
1535604045824,2018-08-30T13:40:45.824,7.785,-0.040,0.902,0.285
1535604045824,2018-08-30T13:40:45.824,7.785,-0.062,1.021,0.291
1535604045824,2018-08-30T13:40:45.824,7.785,-0.096,1.247,0.329
1535604046071,2018-08-30T13:40:46.071,8.032,-0.220,0.860,0.123
1535604046071,2018-08-30T13:40:46.071,8.032,-0.156,0.889,0.073
1535604046071,2018-08-30T13:40:46.071,8.032,-0.167,0.867,0.109
