epoch (ms),time (18:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1535502938099,2018-08-29T09:35:38.099,0.000,-1.463,-0.610,-0.244
1535502938099,2018-08-29T09:35:38.099,0.000,-1.524,-0.793,0.427
1535502938099,2018-08-29T09:35:38.099,0.000,-1.585,-0.305,0.793
1535502938224,2018-08-29T09:35:38.224,0.125,-1.402,-0.122,0.366
1535502938224,2018-08-29T09:35:38.224,0.125,-1.341,0.183,0.061
1535502938224,2018-08-29T09:35:38.224,0.125,-2.134,0.671,0.244
1535502938347,2018-08-29T09:35:38.347,0.248,-1.402,0.000,0.366
1535502938347,2018-08-29T09:35:38.347,0.248,-1.402,0.488,0.427
1535502938347,2018-08-29T09:35:38.347,0.248,-1.768,0.305,0.000
1535502938459,2018-08-29T09:35:38.459,0.360,-1.585,-0.610,0.061
1535502938459,2018-08-29T09:35:38.459,0.360,-1.463,-0.427,0.610
1535502938459,2018-08-29T09:35:38.459,0.360,-1.646,0.061,0.366
1535502938584,2018-08-29T09:35:38.584,0.485,-1.585,0.061,-0.061
1535502938584,2018-08-29T09:35:38.584,0.485,-1.463,0.000,0.061
1535502938584,2018-08-29T09:35:38.584,0.485,-1.768,-0.183,0.305
1535502938708,2018-08-29T09:35:38.708,0.609,-2.134,-0.183,0.183
1535502938708,2018-08-29T09:35:38.708,0.609,-1.768,0.183,0.122
1535502938708,2018-08-29T09:35:38.708,0.609,-1.646,-0.061,0.305
1535502938831,2018-08-29T09:35:38.831,0.732,-1.463,-0.366,0.427
1535502938831,2018-08-29T09:35:38.831,0.732,-1.341,-0.488,0.305
1535502938831,2018-08-29T09:35:38.831,0.732,-1.768,-0.122,0.000
1535502938956,2018-08-29T09:35:38.956,0.857,-1.890,-0.183,-0.061
1535502938956,2018-08-29T09:35:38.956,0.857,-1.890,-0.122,0.366
1535502938956,2018-08-29T09:35:38.956,0.857,-1.646,-0.122,0.183
1535502939067,2018-08-29T09:35:39.067,0.968,-1.707,-0.122,0.122
1535502939067,2018-08-29T09:35:39.067,0.968,-1.524,-0.122,0.244
1535502939067,2018-08-29T09:35:39.067,0.968,-1.463,-0.061,0.061
1535502939191,2018-08-29T09:35:39.191,1.092,-1.341,-0.061,0.366
1535502939191,2018-08-29T09:35:39.191,1.092,-1.159,-0.122,0.366
1535502939191,2018-08-29T09:35:39.191,1.092,-1.037,-0.061,0.427
