epoch (ms),time (18:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1535504231371,2018-08-29T09:57:11.371,0.000,-1.341,-1.159,-0.305
1535504231371,2018-08-29T09:57:11.371,0.000,-1.280,-1.646,-0.305
1535504231371,2018-08-29T09:57:11.371,0.000,-1.829,-1.220,-0.061
1535504231495,2018-08-29T09:57:11.495,0.124,-2.500,-0.427,-0.549
1535504231495,2018-08-29T09:57:11.495,0.124,-2.134,-0.976,0.732
1535504231495,2018-08-29T09:57:11.495,0.124,-3.171,-1.463,1.159
1535504231619,2018-08-29T09:57:11.619,0.248,-3.598,-1.159,1.341
1535504231619,2018-08-29T09:57:11.619,0.248,-2.622,-1.159,2.073
1535504231619,2018-08-29T09:57:11.619,0.248,-2.378,-1.280,1.890
1535504231731,2018-08-29T09:57:11.731,0.360,-2.622,-1.159,1.463
1535504231731,2018-08-29T09:57:11.731,0.360,-2.805,-1.037,1.220
1535504231731,2018-08-29T09:57:11.731,0.360,-2.195,-1.341,1.037
1535504231855,2018-08-29T09:57:11.855,0.484,-1.829,-1.280,1.037
1535504231855,2018-08-29T09:57:11.855,0.484,-0.976,-0.244,1.159
1535504231855,2018-08-29T09:57:11.855,0.484,0.000,0.610,1.646
1535504231979,2018-08-29T09:57:11.979,0.608,1.646,0.488,1.402
1535504231979,2018-08-29T09:57:11.979,0.608,1.463,1.890,2.073
1535504231979,2018-08-29T09:57:11.979,0.608,1.098,2.012,1.402
1535504232103,2018-08-29T09:57:12.103,0.732,1.220,1.524,1.463
1535504232103,2018-08-29T09:57:12.103,0.732,1.646,1.768,2.378
1535504232103,2018-08-29T09:57:12.103,0.732,1.890,2.317,1.585
1535504232227,2018-08-29T09:57:12.227,0.856,2.378,1.768,0.549
1535504232227,2018-08-29T09:57:12.227,0.856,-0.305,2.378,1.402
1535504232227,2018-08-29T09:57:12.227,0.856,-3.293,4.451,-1.585
1535504232340,2018-08-29T09:57:12.340,0.969,2.439,2.378,-2.561
1535504232340,2018-08-29T09:57:12.340,0.969,3.232,0.305,-0.671
1535504232340,2018-08-29T09:57:12.340,0.969,5.793,1.524,-2.073
1535504232463,2018-08-29T09:57:12.463,1.092,14.512,1.829,-8.049
1535504232463,2018-08-29T09:57:12.463,1.092,20.671,2.134,-8.049
1535504232463,2018-08-29T09:57:12.463,1.092,28.720,1.585,-12.317
1535504232587,2018-08-29T09:57:12.587,1.216,26.220,0.671,-16.951
1535504232587,2018-08-29T09:57:12.587,1.216,25.000,0.854,-14.878
1535504232587,2018-08-29T09:57:12.587,1.216,29.939,-1.220,-15.671
1535504232711,2018-08-29T09:57:12.711,1.340,25.244,-0.122,-15.305
1535504232711,2018-08-29T09:57:12.711,1.340,21.280,0.427,-12.683
1535504232711,2018-08-29T09:57:12.711,1.340,16.768,-1.098,-9.878
1535504232824,2018-08-29T09:57:12.824,1.453,10.732,-0.854,-5.915
1535504232824,2018-08-29T09:57:12.824,1.453,4.085,0.793,-1.890
1535504232824,2018-08-29T09:57:12.824,1.453,-0.122,0.854,-0.915
1535504232947,2018-08-29T09:57:12.947,1.576,-7.439,1.585,1.646
1535504232947,2018-08-29T09:57:12.947,1.576,-6.707,2.988,6.524
1535504232947,2018-08-29T09:57:12.947,1.576,-6.463,1.890,4.695
1535504233070,2018-08-29T09:57:13.070,1.699,-11.280,2.805,1.524
