epoch (ms),time (18:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1535503974312,2018-08-29T09:52:54.312,0.000,0.305,0.305,-0.915
1535503974312,2018-08-29T09:52:54.312,0.000,0.671,0.366,-1.037
1535503974312,2018-08-29T09:52:54.312,0.000,2.012,0.732,0.427
1535503974426,2018-08-29T09:52:54.426,0.114,2.317,0.610,0.671
1535503974426,2018-08-29T09:52:54.426,0.114,2.622,0.183,-0.915
1535503974426,2018-08-29T09:52:54.426,0.114,3.354,-0.366,-1.585
1535503974549,2018-08-29T09:52:54.549,0.237,2.134,0.061,-1.098
1535503974549,2018-08-29T09:52:54.549,0.237,1.220,0.305,-0.183
1535503974549,2018-08-29T09:52:54.549,0.237,0.183,-0.427,-0.305
1535503974673,2018-08-29T09:52:54.673,0.361,-2.927,0.854,-0.732
1535503974673,2018-08-29T09:52:54.673,0.361,-0.244,-0.915,0.610
1535503974673,2018-08-29T09:52:54.673,0.361,-2.134,1.037,0.549
1535503974797,2018-08-29T09:52:54.797,0.485,-2.561,1.707,-0.549
1535503974797,2018-08-29T09:52:54.797,0.485,-3.841,1.585,0.061
1535503974797,2018-08-29T09:52:54.797,0.485,-2.500,0.915,1.341
1535503974920,2018-08-29T09:52:54.920,0.608,-3.476,0.915,1.280
1535503974920,2018-08-29T09:52:54.920,0.608,-4.085,0.915,0.427
1535503974920,2018-08-29T09:52:54.920,0.608,-1.890,1.524,-0.244
1535503975032,2018-08-29T09:52:55.032,0.720,-4.756,3.110,-2.988
1535503975032,2018-08-29T09:52:55.032,0.720,-3.476,2.683,-5.793
1535503975032,2018-08-29T09:52:55.032,0.720,-1.341,-0.244,-4.451
1535503975155,2018-08-29T09:52:55.155,0.843,-4.573,-0.366,-3.354
1535503975155,2018-08-29T09:52:55.155,0.843,0.549,0.671,0.244
1535503975155,2018-08-29T09:52:55.155,0.843,2.134,0.122,1.341
1535503975280,2018-08-29T09:52:55.280,0.968,3.110,0.732,-0.244
1535503975280,2018-08-29T09:52:55.280,0.968,3.780,-0.671,0.610
1535503975280,2018-08-29T09:52:55.280,0.968,1.159,1.037,-0.122
1535503975402,2018-08-29T09:52:55.402,1.090,0.549,2.073,0.305
1535503975402,2018-08-29T09:52:55.402,1.090,-3.780,3.659,2.561
1535503975402,2018-08-29T09:52:55.402,1.090,-3.841,7.012,3.476
1535503975527,2018-08-29T09:52:55.527,1.215,-7.683,6.585,4.207
1535503975527,2018-08-29T09:52:55.527,1.215,-6.768,9.817,4.512
1535503975527,2018-08-29T09:52:55.527,1.215,-4.329,7.439,8.171
1535503975640,2018-08-29T09:52:55.640,1.328,-2.134,4.329,8.963
1535503975640,2018-08-29T09:52:55.640,1.328,5.427,2.805,5.183
1535503975640,2018-08-29T09:52:55.640,1.328,9.268,2.012,0.488
1535503975767,2018-08-29T09:52:55.767,1.455,5.244,0.854,-0.305
1535503975767,2018-08-29T09:52:55.767,1.455,8.780,-0.976,-0.122
1535503975767,2018-08-29T09:52:55.767,1.455,8.720,0.793,-2.195
1535503975887,2018-08-29T09:52:55.887,1.575,6.402,3.232,-3.171
1535503975887,2018-08-29T09:52:55.887,1.575,5.244,2.439,-3.720
1535503975887,2018-08-29T09:52:55.887,1.575,1.098,1.890,-2.073
1535503976011,2018-08-29T09:52:56.011,1.699,-0.610,3.902,2.012
1535503976011,2018-08-29T09:52:56.011,1.699,2.134,3.232,1.890
1535503976011,2018-08-29T09:52:56.011,1.699,-0.305,2.317,0.793
1535503976124,2018-08-29T09:52:56.124,1.812,-1.037,1.524,1.585
1535503976124,2018-08-29T09:52:56.124,1.812,-0.305,-0.366,-1.524
1535503976124,2018-08-29T09:52:56.124,1.812,-2.317,-1.890,0.244
1535503976247,2018-08-29T09:52:56.247,1.935,-2.134,-1.707,3.659
1535503976247,2018-08-29T09:52:56.247,1.935,0.244,-1.951,2.195
