epoch (ms),time (18:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1535503710850,2018-08-29T09:48:30.850,0.000,-1.037,-0.305,0.305
1535503710850,2018-08-29T09:48:30.850,0.000,-0.854,-0.366,0.366
1535503710850,2018-08-29T09:48:30.850,0.000,-1.159,-0.122,0.366
1535503710976,2018-08-29T09:48:30.976,0.126,-1.220,0.000,0.366
1535503710976,2018-08-29T09:48:30.976,0.126,-1.220,0.000,0.366
1535503710976,2018-08-29T09:48:30.976,0.126,-1.098,0.000,0.305
1535503711100,2018-08-29T09:48:31.100,0.250,-1.159,0.000,0.305
1535503711100,2018-08-29T09:48:31.100,0.250,-1.220,-0.183,0.366
1535503711100,2018-08-29T09:48:31.100,0.250,-1.159,-0.305,0.366
1535503711212,2018-08-29T09:48:31.212,0.362,-0.976,-0.610,0.305
1535503711212,2018-08-29T09:48:31.212,0.362,-1.037,-0.305,0.305
1535503711212,2018-08-29T09:48:31.212,0.362,-1.037,0.488,0.366
1535503711336,2018-08-29T09:48:31.336,0.486,-1.524,0.671,0.366
1535503711336,2018-08-29T09:48:31.336,0.486,-1.585,-0.061,0.366
1535503711336,2018-08-29T09:48:31.336,0.486,-1.280,-0.244,0.366
1535503711460,2018-08-29T09:48:31.460,0.610,-1.220,-0.183,0.305
1535503711460,2018-08-29T09:48:31.460,0.610,-1.159,-0.183,0.366
1535503711460,2018-08-29T09:48:31.460,0.610,-1.159,-0.244,0.305
1535503711583,2018-08-29T09:48:31.583,0.733,-1.341,-0.183,0.366
1535503711583,2018-08-29T09:48:31.583,0.733,-1.341,-0.122,0.366
1535503711583,2018-08-29T09:48:31.583,0.733,-1.585,0.122,0.305
1535503711695,2018-08-29T09:48:31.695,0.845,-1.159,-0.366,0.305
1535503711695,2018-08-29T09:48:31.695,0.845,-0.854,-0.427,0.366
1535503711695,2018-08-29T09:48:31.695,0.845,-1.220,-0.183,0.366
1535503711818,2018-08-29T09:48:31.818,0.968,-1.159,-0.244,0.305
1535503711818,2018-08-29T09:48:31.818,0.968,-1.159,-0.427,0.305
1535503711818,2018-08-29T09:48:31.818,0.968,-1.341,-0.488,0.366
1535503711944,2018-08-29T09:48:31.944,1.094,-1.280,-0.427,0.366
1535503711944,2018-08-29T09:48:31.944,1.094,-1.037,-0.244,0.366
1535503711944,2018-08-29T09:48:31.944,1.094,-0.976,-0.183,0.366
1535503712067,2018-08-29T09:48:32.067,1.217,-1.220,-0.122,0.366
1535503712067,2018-08-29T09:48:32.067,1.217,-1.220,-0.183,0.305
1535503712067,2018-08-29T09:48:32.067,1.217,-1.220,-0.244,0.305
1535503712191,2018-08-29T09:48:32.191,1.341,-1.098,-0.549,0.305
1535503712191,2018-08-29T09:48:32.191,1.341,-0.671,-0.671,0.244
1535503712191,2018-08-29T09:48:32.191,1.341,-0.732,-0.366,0.305
1535503712303,2018-08-29T09:48:32.303,1.453,-1.280,0.305,0.366
1535503712303,2018-08-29T09:48:32.303,1.453,-1.646,0.244,0.366
1535503712303,2018-08-29T09:48:32.303,1.453,-1.402,-0.183,0.366
1535503712425,2018-08-29T09:48:32.425,1.575,-1.280,-0.244,0.366
1535503712425,2018-08-29T09:48:32.425,1.575,-1.159,-0.061,0.366
1535503712425,2018-08-29T09:48:32.425,1.575,-0.976,-0.122,0.366
1535503712549,2018-08-29T09:48:32.549,1.699,-1.159,-0.122,0.305
1535503712549,2018-08-29T09:48:32.549,1.699,-1.463,-0.305,0.305
1535503712549,2018-08-29T09:48:32.549,1.699,-1.463,-0.061,0.366
1535503712673,2018-08-29T09:48:32.673,1.823,-1.220,-0.122,0.366
1535503712673,2018-08-29T09:48:32.673,1.823,-0.732,-0.366,0.244
1535503712673,2018-08-29T09:48:32.673,1.823,-0.976,-0.244,0.366
1535503712796,2018-08-29T09:48:32.796,1.946,-1.280,-0.122,0.427
1535503712796,2018-08-29T09:48:32.796,1.946,-1.341,-0.183,0.305
1535503712796,2018-08-29T09:48:32.796,1.946,-1.220,-0.305,0.305
1535503712910,2018-08-29T09:48:32.910,2.060,-1.159,-0.183,0.366
1535503712910,2018-08-29T09:48:32.910,2.060,-1.220,0.000,0.366
1535503712910,2018-08-29T09:48:32.910,2.060,-1.280,0.244,0.366
1535503713033,2018-08-29T09:48:33.033,2.183,-1.159,0.183,0.366
1535503713033,2018-08-29T09:48:33.033,2.183,-1.098,0.000,0.366
1535503713033,2018-08-29T09:48:33.033,2.183,-1.220,-0.061,0.305
1535503713157,2018-08-29T09:48:33.157,2.307,-1.341,0.061,0.366
1535503713157,2018-08-29T09:48:33.157,2.307,-1.280,0.122,0.427
1535503713157,2018-08-29T09:48:33.157,2.307,-0.976,0.061,0.366
1535503713281,2018-08-29T09:48:33.281,2.431,-0.854,0.122,0.305
1535503713281,2018-08-29T09:48:33.281,2.431,-1.220,0.549,0.366
1535503713281,2018-08-29T09:48:33.281,2.431,-1.768,0.732,0.427
1535503713396,2018-08-29T09:48:33.396,2.546,-1.463,0.488,0.427
1535503713396,2018-08-29T09:48:33.396,2.546,-1.341,0.427,0.427
1535503713396,2018-08-29T09:48:33.396,2.546,-1.341,0.549,0.427
1535503713517,2018-08-29T09:48:33.517,2.667,-1.280,0.427,0.366
1535503713517,2018-08-29T09:48:33.517,2.667,-1.341,0.305,0.366
1535503713517,2018-08-29T09:48:33.517,2.667,-1.524,0.244,0.427
1535503713640,2018-08-29T09:48:33.640,2.790,-1.280,0.122,0.427
1535503713640,2018-08-29T09:48:33.640,2.790,-1.220,0.305,0.427
1535503713640,2018-08-29T09:48:33.640,2.790,-0.976,0.000,0.366
1535503713764,2018-08-29T09:48:33.764,2.914,-0.976,0.000,0.366
1535503713764,2018-08-29T09:48:33.764,2.914,-0.976,0.244,0.366
1535503713764,2018-08-29T09:48:33.764,2.914,-1.037,0.183,0.366
1535503713890,2018-08-29T09:48:33.890,3.040,-1.159,0.000,0.366
1535503713890,2018-08-29T09:48:33.890,3.040,-1.098,0.061,0.305
1535503713890,2018-08-29T09:48:33.890,3.040,-1.098,0.183,0.366
1535503714001,2018-08-29T09:48:34.001,3.151,-0.732,0.366,0.366
1535503714001,2018-08-29T09:48:34.001,3.151,-0.732,0.183,0.366
1535503714001,2018-08-29T09:48:34.001,3.151,-0.976,0.122,0.366
1535503714126,2018-08-29T09:48:34.126,3.276,-1.098,-0.122,0.366
1535503714126,2018-08-29T09:48:34.126,3.276,-1.159,-0.061,0.366
1535503714126,2018-08-29T09:48:34.126,3.276,-1.159,0.000,0.366
1535503714249,2018-08-29T09:48:34.249,3.399,-1.098,-0.244,0.366
1535503714249,2018-08-29T09:48:34.249,3.399,-1.220,-0.244,0.305
1535503714249,2018-08-29T09:48:34.249,3.399,-1.220,0.549,0.366
1535503714372,2018-08-29T09:48:34.372,3.522,-1.220,1.037,0.427
1535503714372,2018-08-29T09:48:34.372,3.522,-1.646,0.366,0.366
1535503714372,2018-08-29T09:48:34.372,3.522,-1.280,0.000,0.366
1535503714497,2018-08-29T09:48:34.497,3.647,-1.220,0.061,0.305
1535503714497,2018-08-29T09:48:34.497,3.647,-1.220,0.000,0.305
1535503714497,2018-08-29T09:48:34.497,3.647,-1.098,-0.183,0.366
1535503714608,2018-08-29T09:48:34.608,3.758,-0.976,-0.122,0.366
1535503714608,2018-08-29T09:48:34.608,3.758,-0.976,-0.061,0.366
1535503714608,2018-08-29T09:48:34.608,3.758,-1.402,0.366,0.427
1535503714731,2018-08-29T09:48:34.731,3.881,-1.220,-0.122,0.366
1535503714731,2018-08-29T09:48:34.731,3.881,-1.037,-0.427,0.305
1535503714731,2018-08-29T09:48:34.731,3.881,-1.220,-0.183,0.366
1535503714858,2018-08-29T09:48:34.858,4.008,-1.280,-0.183,0.305
1535503714858,2018-08-29T09:48:34.858,4.008,-1.402,-0.305,0.305
1535503714858,2018-08-29T09:48:34.858,4.008,-1.646,-0.244,0.366
1535503714979,2018-08-29T09:48:34.979,4.129,-1.524,-0.183,0.366
1535503714979,2018-08-29T09:48:34.979,4.129,-1.280,0.122,0.366
1535503714979,2018-08-29T09:48:34.979,4.129,-1.220,0.305,0.366
1535503715091,2018-08-29T09:48:35.091,4.241,-1.220,0.244,0.366
1535503715091,2018-08-29T09:48:35.091,4.241,-1.341,0.183,0.366
1535503715091,2018-08-29T09:48:35.091,4.241,-1.402,-0.122,0.366
1535503715215,2018-08-29T09:48:35.215,4.365,-1.098,-0.549,0.305
1535503715215,2018-08-29T09:48:35.215,4.365,-0.976,-0.488,0.305
1535503715215,2018-08-29T09:48:35.215,4.365,-1.159,0.183,0.305
1535503715339,2018-08-29T09:48:35.339,4.489,-1.524,0.488,0.366
1535503715339,2018-08-29T09:48:35.339,4.489,-1.402,0.061,0.366
1535503715339,2018-08-29T09:48:35.339,4.489,-1.220,-0.061,0.366
1535503715462,2018-08-29T09:48:35.462,4.612,-1.280,0.000,0.305
1535503715462,2018-08-29T09:48:35.462,4.612,-1.159,-0.183,0.305
1535503715462,2018-08-29T09:48:35.462,4.612,-1.037,-0.305,0.305
1535503715586,2018-08-29T09:48:35.586,4.736,-1.220,-0.305,0.305
1535503715586,2018-08-29T09:48:35.586,4.736,-1.280,-0.183,0.366
1535503715586,2018-08-29T09:48:35.586,4.736,-1.524,0.000,0.366
1535503715699,2018-08-29T09:48:35.699,4.849,-1.098,-0.549,0.305
1535503715699,2018-08-29T09:48:35.699,4.849,-0.732,-0.793,0.305
1535503715699,2018-08-29T09:48:35.699,4.849,-0.915,-0.732,0.305
1535503715822,2018-08-29T09:48:35.822,4.972,-0.976,-0.610,0.244
1535503715822,2018-08-29T09:48:35.822,4.972,-0.976,-0.610,0.244
1535503715822,2018-08-29T09:48:35.822,4.972,-0.793,-0.671,0.244
1535503715946,2018-08-29T09:48:35.946,5.096,-1.037,-0.793,0.244
1535503715946,2018-08-29T09:48:35.946,5.096,-1.098,-1.037,0.305
1535503715946,2018-08-29T09:48:35.946,5.096,-1.037,-1.159,0.366
1535503716070,2018-08-29T09:48:36.070,5.220,-1.037,-1.098,0.305
1535503716070,2018-08-29T09:48:36.070,5.220,-1.098,-0.610,0.244
1535503716070,2018-08-29T09:48:36.070,5.220,-0.671,-0.183,0.244
1535503716182,2018-08-29T09:48:36.182,5.332,-0.671,-0.061,0.244
1535503716182,2018-08-29T09:48:36.182,5.332,-0.488,-0.305,0.244
1535503716182,2018-08-29T09:48:36.182,5.332,-0.061,-0.793,0.183
1535503716306,2018-08-29T09:48:36.306,5.456,-0.244,-0.793,0.244
1535503716306,2018-08-29T09:48:36.306,5.456,-1.037,-0.427,0.366
1535503716306,2018-08-29T09:48:36.306,5.456,-1.585,-0.427,0.366
1535503716430,2018-08-29T09:48:36.430,5.580,-1.280,-0.427,0.366
1535503716430,2018-08-29T09:48:36.430,5.580,-1.402,0.122,0.366
1535503716430,2018-08-29T09:48:36.430,5.580,-1.280,0.427,0.366
1535503716554,2018-08-29T09:48:36.554,5.704,-1.098,0.183,0.305
1535503716554,2018-08-29T09:48:36.554,5.704,-1.341,0.061,0.366
1535503716554,2018-08-29T09:48:36.554,5.704,-1.463,-0.183,0.366
1535503716677,2018-08-29T09:48:36.677,5.827,-1.402,-0.061,0.366
1535503716677,2018-08-29T09:48:36.677,5.827,-1.220,-0.122,0.366
1535503716677,2018-08-29T09:48:36.677,5.827,-0.915,-0.488,0.366
1535503716790,2018-08-29T09:48:36.790,5.940,-1.037,-0.366,0.366
1535503716790,2018-08-29T09:48:36.790,5.940,-1.098,-0.183,0.366
1535503716790,2018-08-29T09:48:36.790,5.940,-1.037,0.061,0.366
1535503716914,2018-08-29T09:48:36.914,6.064,-1.098,0.061,0.305
1535503716914,2018-08-29T09:48:36.914,6.064,-1.402,-0.061,0.366
1535503716914,2018-08-29T09:48:36.914,6.064,-1.463,-0.183,0.366
1535503717038,2018-08-29T09:48:37.038,6.188,-1.463,-0.305,0.366
1535503717038,2018-08-29T09:48:37.038,6.188,-1.280,-0.183,0.305
1535503717038,2018-08-29T09:48:37.038,6.188,-1.159,-0.122,0.305
1535503717162,2018-08-29T09:48:37.162,6.312,-1.280,0.061,0.366
1535503717162,2018-08-29T09:48:37.162,6.312,-1.098,0.061,0.366
1535503717162,2018-08-29T09:48:37.162,6.312,-1.098,-0.061,0.366
1535503717286,2018-08-29T09:48:37.286,6.436,-1.159,-0.122,0.366
1535503717286,2018-08-29T09:48:37.286,6.436,-1.280,-0.122,0.366
1535503717286,2018-08-29T09:48:37.286,6.436,-1.220,-0.244,0.366
1535503717398,2018-08-29T09:48:37.398,6.548,-0.915,-0.244,0.305
1535503717398,2018-08-29T09:48:37.398,6.548,-0.732,-0.183,0.305
1535503717398,2018-08-29T09:48:37.398,6.548,-1.159,0.366,0.305
1535503717521,2018-08-29T09:48:37.521,6.671,-1.768,0.488,0.366
1535503717521,2018-08-29T09:48:37.521,6.671,-1.402,0.122,0.366
1535503717521,2018-08-29T09:48:37.521,6.671,-1.402,0.122,0.427
1535503717646,2018-08-29T09:48:37.646,6.796,-1.402,0.244,0.366
1535503717646,2018-08-29T09:48:37.646,6.796,-1.220,0.244,0.366
1535503717646,2018-08-29T09:48:37.646,6.796,-1.159,0.244,0.366
1535503717769,2018-08-29T09:48:37.769,6.919,-1.402,0.305,0.366
1535503717769,2018-08-29T09:48:37.769,6.919,-1.524,0.366,0.366
1535503717769,2018-08-29T09:48:37.769,6.919,-1.463,0.366,0.427
1535503717883,2018-08-29T09:48:37.883,7.033,-0.915,0.000,0.366
1535503717883,2018-08-29T09:48:37.883,7.033,-0.854,-0.122,0.366
1535503717883,2018-08-29T09:48:37.883,7.033,-1.098,0.000,0.366
1535503718007,2018-08-29T09:48:38.007,7.157,-1.220,0.061,0.366
1535503718007,2018-08-29T09:48:38.007,7.157,-1.341,0.061,0.366
1535503718007,2018-08-29T09:48:38.007,7.157,-1.220,-0.061,0.366
1535503718130,2018-08-29T09:48:38.130,7.280,-1.159,0.000,0.366
1535503718130,2018-08-29T09:48:38.130,7.280,-1.280,0.183,0.427
1535503718130,2018-08-29T09:48:38.130,7.280,-1.280,0.122,0.366
1535503718254,2018-08-29T09:48:38.254,7.404,-1.159,0.305,0.366
1535503718254,2018-08-29T09:48:38.254,7.404,-1.098,0.122,0.366
1535503718254,2018-08-29T09:48:38.254,7.404,-1.159,0.122,0.366
1535503718376,2018-08-29T09:48:38.376,7.526,-1.220,0.183,0.366
1535503718376,2018-08-29T09:48:38.376,7.526,-1.220,0.122,0.366
1535503718376,2018-08-29T09:48:38.376,7.526,-1.159,-0.122,0.366
1535503718491,2018-08-29T09:48:38.491,7.641,-0.854,-0.183,0.366
1535503718491,2018-08-29T09:48:38.491,7.641,-0.854,0.366,0.366
1535503718491,2018-08-29T09:48:38.491,7.641,-1.037,0.976,0.366
1535503718626,2018-08-29T09:48:38.626,7.776,-1.707,0.549,0.488
1535503718626,2018-08-29T09:48:38.626,7.776,-1.524,-0.061,0.427
1535503718626,2018-08-29T09:48:38.626,7.776,-1.159,0.000,0.366
1535503718739,2018-08-29T09:48:38.739,7.889,-1.220,0.000,0.366
1535503718739,2018-08-29T09:48:38.739,7.889,-1.098,-0.122,0.366
1535503718739,2018-08-29T09:48:38.739,7.889,-1.037,-0.305,0.305
1535503718861,2018-08-29T09:48:38.861,8.011,-1.159,-0.366,0.305
1535503718861,2018-08-29T09:48:38.861,8.011,-1.463,0.061,0.366
1535503718861,2018-08-29T09:48:38.861,8.011,-1.280,0.122,0.366
1535503718984,2018-08-29T09:48:38.984,8.134,-0.915,-0.305,0.366
1535503718984,2018-08-29T09:48:38.984,8.134,-1.159,-0.366,0.366
1535503718984,2018-08-29T09:48:38.984,8.134,-1.463,-0.488,0.366
1535503719096,2018-08-29T09:48:39.096,8.246,-1.524,-0.671,0.366
1535503719096,2018-08-29T09:48:39.096,8.246,-1.585,-0.549,0.305
1535503719096,2018-08-29T09:48:39.096,8.246,-1.524,-0.427,0.366
1535503719220,2018-08-29T09:48:39.220,8.370,-1.463,-0.244,0.366
1535503719220,2018-08-29T09:48:39.220,8.370,-1.524,-0.122,0.366
1535503719220,2018-08-29T09:48:39.220,8.370,-1.341,-0.244,0.366
1535503719344,2018-08-29T09:48:39.344,8.494,-1.280,-0.427,0.366
1535503719344,2018-08-29T09:48:39.344,8.494,-1.159,-0.488,0.305
1535503719344,2018-08-29T09:48:39.344,8.494,-1.220,-0.122,0.305
1535503719468,2018-08-29T09:48:39.468,8.618,-1.341,-0.061,0.305
1535503719468,2018-08-29T09:48:39.468,8.618,-1.098,-0.305,0.244
1535503719468,2018-08-29T09:48:39.468,8.618,-1.463,-0.488,0.244
1535503719580,2018-08-29T09:48:39.580,8.730,-1.829,0.000,0.366
1535503719580,2018-08-29T09:48:39.580,8.730,-1.768,0.061,0.366
1535503719580,2018-08-29T09:48:39.580,8.730,-1.341,-0.183,0.366
1535503719704,2018-08-29T09:48:39.704,8.854,-1.341,-0.122,0.366
1535503719704,2018-08-29T09:48:39.704,8.854,-1.524,-0.122,0.427
1535503719704,2018-08-29T09:48:39.704,8.854,-1.402,-0.244,0.366
1535503719828,2018-08-29T09:48:39.828,8.978,-1.159,-0.305,0.366
1535503719828,2018-08-29T09:48:39.828,8.978,-1.341,-0.122,0.366
1535503719828,2018-08-29T09:48:39.828,8.978,-1.341,0.122,0.305
1535503719954,2018-08-29T09:48:39.954,9.104,-1.524,0.366,0.305
1535503719954,2018-08-29T09:48:39.954,9.104,-1.280,0.000,0.366
1535503719954,2018-08-29T09:48:39.954,9.104,-1.280,-0.122,0.366
1535503720075,2018-08-29T09:48:40.075,9.225,-1.280,-0.183,0.366
1535503720075,2018-08-29T09:48:40.075,9.225,-1.220,-0.244,0.366
1535503720075,2018-08-29T09:48:40.075,9.225,-1.341,-0.183,0.366
1535503720188,2018-08-29T09:48:40.188,9.338,-1.220,-0.061,0.305
1535503720188,2018-08-29T09:48:40.188,9.338,-1.098,-0.122,0.305
