epoch (ms),time (18:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1535503185550,2018-08-29T09:39:45.550,0.000,-1.524,-0.305,-0.122
1535503185550,2018-08-29T09:39:45.550,0.000,-1.463,-0.183,-0.061
1535503185550,2018-08-29T09:39:45.550,0.000,-1.098,-0.122,0.427
1535503185675,2018-08-29T09:39:45.675,0.125,-0.854,-0.122,0.305
1535503185675,2018-08-29T09:39:45.675,0.125,-1.341,-0.122,0.366
1535503185675,2018-08-29T09:39:45.675,0.125,-1.829,0.000,0.366
1535503185799,2018-08-29T09:39:45.799,0.249,-2.012,0.183,0.732
1535503185799,2018-08-29T09:39:45.799,0.249,-1.707,0.122,0.976
1535503185799,2018-08-29T09:39:45.799,0.249,-1.463,0.183,1.037
1535503185911,2018-08-29T09:39:45.911,0.361,-2.317,0.732,0.610
1535503185911,2018-08-29T09:39:45.911,0.361,-1.646,-0.305,0.915
1535503185911,2018-08-29T09:39:45.911,0.361,-0.854,0.305,0.793
1535503186035,2018-08-29T09:39:46.035,0.485,-1.098,0.854,0.061
1535503186035,2018-08-29T09:39:46.035,0.485,-0.305,-0.610,0.427
1535503186035,2018-08-29T09:39:46.035,0.485,-0.915,-0.122,0.488
1535503186159,2018-08-29T09:39:46.159,0.609,-1.220,0.244,1.037
1535503186159,2018-08-29T09:39:46.159,0.609,-1.463,0.183,1.220
1535503186159,2018-08-29T09:39:46.159,0.609,-0.610,0.244,1.341
1535503186283,2018-08-29T09:39:46.283,0.733,-0.854,0.793,1.037
1535503186283,2018-08-29T09:39:46.283,0.733,-1.585,1.280,0.793
1535503186283,2018-08-29T09:39:46.283,0.733,-1.768,1.159,0.366
1535503186406,2018-08-29T09:39:46.406,0.856,-0.793,0.549,0.671
1535503186406,2018-08-29T09:39:46.406,0.856,-1.037,0.549,0.549
1535503186406,2018-08-29T09:39:46.406,0.856,-1.098,-0.061,1.280
1535503186519,2018-08-29T09:39:46.519,0.969,-0.976,0.000,1.280
1535503186519,2018-08-29T09:39:46.519,0.969,-1.159,-0.305,1.159
1535503186519,2018-08-29T09:39:46.519,0.969,-1.524,-0.305,1.159
1535503186654,2018-08-29T09:39:46.654,1.104,-1.280,-0.183,0.244
1535503186654,2018-08-29T09:39:46.654,1.104,-1.585,-0.122,0.183
1535503186654,2018-08-29T09:39:46.654,1.104,-1.707,0.061,0.000
1535503186766,2018-08-29T09:39:46.766,1.216,-1.707,-0.061,0.122
1535503186766,2018-08-29T09:39:46.766,1.216,-2.439,-0.183,0.244
1535503186766,2018-08-29T09:39:46.766,1.216,-3.110,-0.061,0.244
1535503186888,2018-08-29T09:39:46.888,1.338,-1.768,-0.122,0.671
1535503186888,2018-08-29T09:39:46.888,1.338,-1.951,0.732,0.244
1535503186888,2018-08-29T09:39:46.888,1.338,-2.378,0.732,-0.061
1535503187001,2018-08-29T09:39:47.001,1.451,-0.915,-0.549,0.061
1535503187001,2018-08-29T09:39:47.001,1.451,-1.341,-0.488,0.549
1535503187001,2018-08-29T09:39:47.001,1.451,-1.707,-0.305,0.366
1535503187125,2018-08-29T09:39:47.125,1.575,-1.402,-0.366,0.000
1535503187125,2018-08-29T09:39:47.125,1.575,-1.037,-0.366,0.305
1535503187125,2018-08-29T09:39:47.125,1.575,-0.915,0.000,-0.244
1535503187248,2018-08-29T09:39:47.248,1.698,-1.341,0.366,-0.244
1535503187248,2018-08-29T09:39:47.248,1.698,-2.012,0.061,-0.061
1535503187248,2018-08-29T09:39:47.248,1.698,-1.890,0.122,-0.183
1535503187372,2018-08-29T09:39:47.372,1.822,-1.768,-0.488,0.122
1535503187372,2018-08-29T09:39:47.372,1.822,-1.280,-0.244,0.244
1535503187372,2018-08-29T09:39:47.372,1.822,-1.098,-0.305,0.366
1535503187509,2018-08-29T09:39:47.509,1.959,-1.463,-0.427,0.671
1535503187509,2018-08-29T09:39:47.509,1.959,-1.402,-0.244,0.122
1535503187509,2018-08-29T09:39:47.509,1.959,-1.159,-0.244,0.183
1535503187609,2018-08-29T09:39:47.609,2.059,-1.098,-0.061,0.122
