epoch (ms),time (18:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1535503426659,2018-08-29T09:43:46.659,0.000,0.244,-0.488,-0.061
1535503426659,2018-08-29T09:43:46.659,0.000,0.305,0.000,-0.427
1535503426659,2018-08-29T09:43:46.659,0.000,-0.854,0.427,-1.098
1535503426771,2018-08-29T09:43:46.771,0.112,-2.012,0.061,0.244
1535503426771,2018-08-29T09:43:46.771,0.112,-2.256,0.305,0.549
1535503426771,2018-08-29T09:43:46.771,0.112,-1.890,0.549,-0.305
1535503426893,2018-08-29T09:43:46.893,0.234,-1.768,0.183,-0.122
1535503426893,2018-08-29T09:43:46.893,0.234,-1.585,0.183,-0.305
1535503426893,2018-08-29T09:43:46.893,0.234,-1.220,-0.305,0.732
1535503427017,2018-08-29T09:43:47.017,0.358,-1.037,0.244,0.976
1535503427017,2018-08-29T09:43:47.017,0.358,-0.305,0.732,0.244
1535503427017,2018-08-29T09:43:47.017,0.358,-1.159,-0.061,-0.305
1535503427140,2018-08-29T09:43:47.140,0.481,-1.646,-0.305,-0.976
1535503427140,2018-08-29T09:43:47.140,0.481,-1.098,0.183,-1.280
1535503427140,2018-08-29T09:43:47.140,0.481,-0.915,0.122,-0.976
1535503427264,2018-08-29T09:43:47.264,0.605,-1.037,-0.305,-0.610
1535503427264,2018-08-29T09:43:47.264,0.605,-1.341,-0.183,-0.244
1535503427264,2018-08-29T09:43:47.264,0.605,-1.402,-0.061,0.549
1535503427377,2018-08-29T09:43:47.377,0.718,-1.585,0.305,0.793
1535503427377,2018-08-29T09:43:47.377,0.718,-0.793,0.549,0.366
1535503427377,2018-08-29T09:43:47.377,0.718,-0.427,0.549,0.366
1535503427501,2018-08-29T09:43:47.501,0.842,-0.793,0.793,0.061
1535503427501,2018-08-29T09:43:47.501,0.842,-1.707,0.183,0.244
1535503427501,2018-08-29T09:43:47.501,0.842,-1.707,0.000,0.244
1535503427624,2018-08-29T09:43:47.624,0.965,-1.646,0.000,-0.488
1535503427624,2018-08-29T09:43:47.624,0.965,-1.829,-0.183,-0.427
1535503427624,2018-08-29T09:43:47.624,0.965,-1.707,-0.244,-0.061
1535503427748,2018-08-29T09:43:47.748,1.089,-0.854,-0.183,0.488
1535503427748,2018-08-29T09:43:47.748,1.089,-0.976,0.244,1.098
1535503427748,2018-08-29T09:43:47.748,1.089,-1.037,0.610,0.732
1535503427860,2018-08-29T09:43:47.860,1.201,-1.646,0.183,0.427
1535503427860,2018-08-29T09:43:47.860,1.201,-0.793,0.183,0.000
1535503427860,2018-08-29T09:43:47.860,1.201,-0.915,-0.122,0.488
1535503427984,2018-08-29T09:43:47.984,1.325,-1.341,-0.183,0.244
1535503427984,2018-08-29T09:43:47.984,1.325,-1.159,-0.122,0.427
1535503427984,2018-08-29T09:43:47.984,1.325,-1.524,-0.305,0.244
1535503428108,2018-08-29T09:43:48.108,1.449,-1.280,-0.244,0.244
1535503428108,2018-08-29T09:43:48.108,1.449,-0.976,-0.061,0.122
1535503428108,2018-08-29T09:43:48.108,1.449,-1.585,0.305,0.244
1535503428232,2018-08-29T09:43:48.232,1.573,-0.366,0.183,0.732
1535503428232,2018-08-29T09:43:48.232,1.573,-0.427,0.305,0.122
1535503428232,2018-08-29T09:43:48.232,1.573,-0.976,0.305,0.244
1535503428355,2018-08-29T09:43:48.355,1.696,-1.707,-0.183,0.610
1535503428355,2018-08-29T09:43:48.355,1.696,-1.890,-0.061,0.305
1535503428355,2018-08-29T09:43:48.355,1.696,-1.951,-0.061,-0.122
